phase	time	source	remote
idle	23:11:53	rust	51.159.86.116:443
idle	23:11:54	rust	51.159.86.116:443
idle	23:11:54	rust	51.159.86.116:443
idle	23:11:55	rust	51.159.86.116:443
idle	23:11:55	rust	51.159.86.116:443
idle	23:11:56	rust	51.159.86.116:443
idle	23:11:56	rust	51.159.86.116:443
idle	23:11:57	rust	51.159.86.116:443
idle	23:11:57	rust	51.159.86.116:443
idle	23:11:58	rust	51.159.86.116:443
idle	23:11:58	rust	51.159.86.116:443
idle	23:11:59	rust	51.159.86.116:443
idle	23:11:59	rust	51.159.86.116:443
idle	23:12:00	rust	51.159.86.116:443
idle	23:12:00	rust	51.159.86.116:443
idle	23:12:01	rust	51.159.86.116:443
idle	23:12:01	rust	51.159.86.116:443
idle	23:12:02	rust	51.159.86.116:443
idle	23:12:02	rust	51.159.86.116:443
idle	23:12:03	rust	51.159.86.116:443
idle	23:12:03	rust	51.159.86.116:443
idle	23:12:04	rust	51.159.86.116:443
idle	23:12:04	rust	51.159.86.116:443
idle	23:12:05	rust	51.159.86.116:443
idle	23:12:05	rust	51.159.86.116:443
idle	23:12:05	rust	51.159.86.116:443
idle	23:12:06	rust	51.159.86.116:443
idle	23:12:06	rust	51.159.86.116:443
idle	23:12:07	rust	51.159.86.116:443
idle	23:12:07	rust	51.159.86.116:443
idle	23:12:08	rust	51.159.86.116:443
idle	23:12:08	rust	51.159.86.116:443
idle	23:12:09	rust	51.159.86.116:443
idle	23:12:09	rust	51.159.86.116:443
idle	23:12:10	rust	51.159.86.116:443
idle	23:12:10	rust	51.159.86.116:443
idle	23:12:11	rust	51.159.86.116:443
idle	23:12:11	rust	51.159.86.116:443
idle	23:12:12	rust	51.159.86.116:443
idle	23:12:12	rust	51.159.86.116:443
idle	23:12:12	rust	51.159.86.116:443
idle	23:12:13	rust	51.159.86.116:443
idle	23:12:13	rust	51.159.86.116:443
idle	23:12:14	rust	51.159.86.116:443
idle	23:12:14	rust	51.159.86.116:443
idle	23:12:15	rust	51.159.86.116:443
idle	23:12:15	rust	51.159.86.116:443
idle	23:12:16	rust	51.159.86.116:443
idle	23:12:16	rust	51.159.86.116:443
idle	23:12:16	rust	51.159.86.116:443
idle	23:12:17	rust	51.159.86.116:443
idle	23:12:17	rust	51.159.86.116:443
idle	23:12:18	rust	51.159.86.116:443
idle	23:12:18	rust	51.159.86.116:443
idle	23:12:19	rust	51.159.86.116:443
idle	23:12:19	rust	51.159.86.116:443
idle	23:12:20	rust	51.159.86.116:443
idle	23:12:20	rust	51.159.86.116:443
idle	23:12:20	rust	51.159.86.116:443
idle	23:12:21	rust	51.159.86.116:443
idle	23:12:21	rust	51.159.86.116:443
idle	23:12:22	rust	51.159.86.116:443
idle	23:12:22	rust	51.159.86.116:443
idle	23:12:23	rust	51.159.86.116:443
idle	23:12:23	rust	51.159.86.116:443
idle	23:12:24	rust	51.159.86.116:443
idle	23:12:24	rust	51.159.86.116:443
idle	23:12:24	rust	51.159.86.116:443
idle	23:12:25	rust	51.159.86.116:443
idle	23:12:25	rust	51.159.86.116:443
idle	23:12:26	rust	51.159.86.116:443
idle	23:12:26	rust	51.159.86.116:443
idle	23:12:27	rust	51.159.86.116:443
idle	23:12:27	rust	51.159.86.116:443
idle	23:12:27	rust	51.159.86.116:443
idle	23:12:28	rust	51.159.86.116:443
idle	23:12:28	rust	51.159.86.116:443
idle	23:12:29	rust	51.159.86.116:443
idle	23:12:29	rust	51.159.86.116:443
idle	23:12:30	rust	51.159.86.116:443
idle	23:12:30	rust	51.159.86.116:443
idle	23:12:31	rust	51.159.86.116:443
idle	23:12:31	rust	51.159.86.116:443
idle	23:12:31	rust	51.159.86.116:443
idle	23:12:32	rust	51.159.86.116:443
idle	23:12:32	rust	51.159.86.116:443
idle	23:12:33	rust	51.159.86.116:443
idle	23:12:33	rust	51.159.86.116:443
idle	23:12:34	rust	51.159.86.116:443
idle	23:12:34	rust	51.159.86.116:443
idle	23:12:35	rust	51.159.86.116:443
idle	23:12:35	rust	51.159.86.116:443
idle	23:12:35	rust	51.159.86.116:443
idle	23:12:36	rust	51.159.86.116:443
idle	23:12:36	rust	51.159.86.116:443
idle	23:12:37	rust	51.159.86.116:443
idle	23:12:37	rust	51.159.86.116:443
chat	23:20:40	rust	51.159.86.116:443
chat	23:20:40	rust	51.159.86.116:443
chat	23:20:40	rust	51.159.86.116:443
chat	23:20:41	rust	51.159.86.116:443
chat	23:20:41	rust	51.159.86.116:443
chat	23:20:42	rust	51.159.86.116:443
chat	23:20:42	rust	51.159.86.116:443
chat	23:20:43	rust	51.159.86.116:443
chat	23:20:43	rust	51.159.86.116:443
chat	23:20:44	rust	51.159.86.116:443
chat	23:20:44	rust	51.159.86.116:443
chat	23:20:44	rust	51.159.86.116:443
chat	23:20:45	rust	51.159.86.116:443
chat	23:20:45	rust	51.159.86.116:443
chat	23:20:46	rust	51.159.86.116:443
chat	23:20:46	rust	51.159.86.116:443
chat	23:20:47	rust	51.159.86.116:443
chat	23:20:47	rust	51.159.86.116:443
chat	23:20:48	rust	51.159.86.116:443
chat	23:20:48	rust	51.159.86.116:443
chat	23:20:48	rust	51.159.86.116:443
update-check	23:23:44	rust	51.159.86.116:443
update-check	23:23:44	rust	185.199.108.153:443
update-check	23:23:45	rust	51.159.86.116:443
update-check	23:23:45	rust	185.199.108.153:443
update-check	23:23:45	rust	51.159.86.116:443
update-check	23:23:45	rust	185.199.108.153:443
update-check	23:23:46	rust	51.159.86.116:443
update-check	23:23:46	rust	185.199.108.153:443
update-check	23:23:46	rust	51.159.86.116:443
update-check	23:23:46	rust	185.199.108.153:443
update-check	23:23:46	rust	51.159.86.116:443
update-check	23:23:46	rust	185.199.108.153:443
update-check	23:23:47	rust	51.159.86.116:443
update-check	23:23:47	rust	185.199.108.153:443
update-check	23:23:47	rust	51.159.86.116:443
update-check	23:23:47	rust	185.199.108.153:443
update-check	23:23:48	rust	51.159.86.116:443
update-check	23:23:48	rust	185.199.108.153:443
update-check	23:23:48	rust	51.159.86.116:443
update-check	23:23:48	rust	185.199.108.153:443
update-check	23:23:49	rust	51.159.86.116:443
update-check	23:23:49	rust	185.199.108.153:443
update-check	23:23:49	rust	51.159.86.116:443
update-check	23:23:49	rust	185.199.108.153:443
update-check	23:23:50	rust	51.159.86.116:443
update-check	23:23:50	rust	185.199.108.153:443
update-check	23:23:50	rust	51.159.86.116:443
update-check	23:23:50	rust	185.199.108.153:443
update-check	23:23:50	rust	51.159.86.116:443
update-check	23:23:50	rust	185.199.108.153:443
update-check	23:23:51	rust	51.159.86.116:443
update-check	23:23:51	rust	185.199.108.153:443
update-check	23:23:51	rust	51.159.86.116:443
update-check	23:23:51	rust	185.199.108.153:443
update-check	23:23:52	rust	51.159.86.116:443
update-check	23:23:52	rust	185.199.108.153:443
update-check	23:23:52	rust	51.159.86.116:443
update-check	23:23:52	rust	185.199.108.153:443
update-check	23:23:53	rust	51.159.86.116:443
update-check	23:23:53	rust	185.199.108.153:443
update-check	23:23:53	rust	51.159.86.116:443
update-check	23:23:53	rust	185.199.108.153:443
update-check	23:23:54	rust	51.159.86.116:443
update-check	23:23:54	rust	185.199.108.153:443
update-check	23:23:54	rust	51.159.86.116:443
update-check	23:23:54	rust	185.199.108.153:443
update-check	23:23:54	rust	51.159.86.116:443
update-check	23:23:54	rust	185.199.108.153:443
update-check	23:23:55	rust	51.159.86.116:443
update-check	23:23:55	rust	185.199.108.153:443
update-check	23:23:55	rust	51.159.86.116:443
update-check	23:23:55	rust	185.199.108.153:443
update-check	23:23:56	rust	51.159.86.116:443
update-check	23:23:56	rust	185.199.108.153:443
update-check	23:23:56	rust	51.159.86.116:443
update-check	23:23:56	rust	185.199.108.153:443
update-check	23:23:57	rust	51.159.86.116:443
update-check	23:23:57	rust	185.199.108.153:443
update-check	23:23:57	rust	51.159.86.116:443
update-check	23:23:57	rust	185.199.108.153:443
update-check	23:23:58	rust	51.159.86.116:443
update-check	23:23:58	rust	185.199.108.153:443
update-check	23:23:58	rust	51.159.86.116:443
update-check	23:23:58	rust	185.199.108.153:443
update-check	23:23:58	rust	51.159.86.116:443
update-check	23:23:58	rust	185.199.108.153:443
update-check	23:23:59	rust	51.159.86.116:443
update-check	23:23:59	rust	185.199.108.153:443
update-check	23:23:59	rust	51.159.86.116:443
update-check	23:23:59	rust	185.199.108.153:443
update-check	23:24:00	rust	51.159.86.116:443
update-check	23:24:00	rust	185.199.108.153:443
update-check	23:24:00	rust	51.159.86.116:443
update-check	23:24:00	rust	185.199.108.153:443
update-check	23:24:01	rust	51.159.86.116:443
update-check	23:24:01	rust	185.199.108.153:443
update-check	23:24:01	rust	51.159.86.116:443
update-check	23:24:01	rust	185.199.108.153:443
update-check	23:24:02	rust	51.159.86.116:443
update-check	23:24:02	rust	185.199.108.153:443
update-check	23:24:02	rust	51.159.86.116:443
update-check	23:24:02	rust	185.199.108.153:443
update-check	23:24:02	rust	51.159.86.116:443
update-check	23:24:02	rust	185.199.108.153:443
update-check	23:24:03	rust	51.159.86.116:443
update-check	23:24:03	rust	185.199.108.153:443
update-check	23:24:03	rust	51.159.86.116:443
update-check	23:24:03	rust	185.199.108.153:443
update-check	23:24:04	rust	51.159.86.116:443
update-check	23:24:04	rust	185.199.108.153:443
update-check	23:24:04	rust	51.159.86.116:443
update-check	23:24:04	rust	185.199.108.153:443
update-check	23:24:05	rust	51.159.86.116:443
update-check	23:24:05	rust	185.199.108.153:443
update-check	23:24:05	rust	51.159.86.116:443
update-check	23:24:05	rust	185.199.108.153:443
update-check	23:24:06	rust	51.159.86.116:443
update-check	23:24:06	rust	185.199.108.153:443
update-check	23:24:06	rust	51.159.86.116:443
update-check	23:24:06	rust	185.199.108.153:443
update-check	23:24:06	rust	51.159.86.116:443
update-check	23:24:06	rust	185.199.108.153:443
update-check	23:24:07	rust	51.159.86.116:443
update-check	23:24:07	rust	185.199.108.153:443
update-check	23:24:07	rust	51.159.86.116:443
update-check	23:24:07	rust	185.199.108.153:443
update-check	23:24:08	rust	51.159.86.116:443
update-check	23:24:08	rust	185.199.108.153:443
update-check	23:24:08	rust	51.159.86.116:443
update-check	23:24:08	rust	185.199.108.153:443
update-check	23:24:09	rust	51.159.86.116:443
update-check	23:24:09	rust	185.199.108.153:443
update-check	23:24:09	rust	51.159.86.116:443
update-check	23:24:09	rust	185.199.108.153:443
update-check	23:24:09	rust	51.159.86.116:443
update-check	23:24:09	rust	185.199.108.153:443
update-check	23:24:10	rust	51.159.86.116:443
update-check	23:24:10	rust	185.199.108.153:443
update-check	23:24:10	rust	51.159.86.116:443
update-check	23:24:10	rust	185.199.108.153:443
update-check	23:24:11	rust	51.159.86.116:443
update-check	23:24:11	rust	185.199.108.153:443
update-check	23:24:11	rust	51.159.86.116:443
update-check	23:24:11	rust	185.199.108.153:443
update-check	23:24:12	rust	51.159.86.116:443
update-check	23:24:12	rust	185.199.108.153:443
update-check	23:24:12	rust	51.159.86.116:443
update-check	23:24:12	rust	185.199.108.153:443
update-check	23:24:13	rust	51.159.86.116:443
update-check	23:24:13	rust	185.199.108.153:443
update-check	23:24:13	rust	51.159.86.116:443
update-check	23:24:13	rust	185.199.108.153:443
update-check	23:24:13	rust	51.159.86.116:443
update-check	23:24:13	rust	185.199.108.153:443
update-check	23:24:14	rust	51.159.86.116:443
update-check	23:24:14	rust	185.199.108.153:443
update-check	23:24:14	rust	51.159.86.116:443
update-check	23:24:14	rust	185.199.108.153:443
update-check	23:24:15	rust	51.159.86.116:443
update-check	23:24:15	rust	185.199.108.153:443
update-check	23:24:15	rust	51.159.86.116:443
update-check	23:24:15	rust	185.199.108.153:443
update-check	23:24:16	rust	51.159.86.116:443
update-check	23:24:16	rust	185.199.108.153:443
update-check	23:24:16	rust	51.159.86.116:443
update-check	23:24:16	rust	185.199.108.153:443
update-check	23:24:17	rust	51.159.86.116:443
update-check	23:24:17	rust	185.199.108.153:443
update-check	23:24:17	rust	51.159.86.116:443
update-check	23:24:17	rust	185.199.108.153:443
update-check	23:24:17	rust	51.159.86.116:443
update-check	23:24:17	rust	185.199.108.153:443
update-check	23:24:18	rust	51.159.86.116:443
update-check	23:24:18	rust	185.199.108.153:443
update-check	23:24:18	rust	51.159.86.116:443
update-check	23:24:18	rust	185.199.108.153:443
update-check	23:24:19	rust	51.159.86.116:443
update-check	23:24:19	rust	185.199.108.153:443
update-check	23:24:19	rust	51.159.86.116:443
update-check	23:24:19	rust	185.199.108.153:443
update-check	23:24:20	rust	51.159.86.116:443
update-check	23:24:20	rust	185.199.108.153:443
update-check	23:24:20	rust	51.159.86.116:443
update-check	23:24:20	rust	185.199.108.153:443
update-check	23:24:20	rust	51.159.86.116:443
update-check	23:24:20	rust	185.199.108.153:443
update-check	23:24:21	rust	51.159.86.116:443
update-check	23:24:21	rust	185.199.108.153:443
update-check	23:24:21	rust	51.159.86.116:443
update-check	23:24:21	rust	185.199.108.153:443
update-check	23:24:22	rust	51.159.86.116:443
update-check	23:24:22	rust	185.199.108.153:443
update-check	23:24:22	rust	51.159.86.116:443
update-check	23:24:22	rust	185.199.108.153:443
update-check	23:24:23	rust	51.159.86.116:443
update-check	23:24:23	rust	185.199.108.153:443
update-check	23:24:23	rust	51.159.86.116:443
update-check	23:24:23	rust	185.199.108.153:443
update-check	23:24:24	rust	51.159.86.116:443
update-check	23:24:24	rust	185.199.108.153:443
update-check	23:24:24	rust	51.159.86.116:443
update-check	23:24:24	rust	185.199.108.153:443
update-check	23:24:24	rust	51.159.86.116:443
update-check	23:24:24	rust	185.199.108.153:443
update-check	23:24:25	rust	51.159.86.116:443
update-check	23:24:25	rust	185.199.108.153:443
update-check	23:24:25	rust	51.159.86.116:443
update-check	23:24:25	rust	185.199.108.153:443
update-check	23:24:26	rust	51.159.86.116:443
update-check	23:24:26	rust	185.199.108.153:443
update-check	23:24:26	rust	51.159.86.116:443
update-check	23:24:26	rust	185.199.108.153:443
update-check	23:24:27	rust	51.159.86.116:443
update-check	23:24:27	rust	185.199.108.153:443
update-check	23:24:27	rust	51.159.86.116:443
update-check	23:24:27	rust	185.199.108.153:443
update-check	23:24:28	rust	51.159.86.116:443
update-check	23:24:28	rust	185.199.108.153:443
update-check	23:24:28	rust	51.159.86.116:443
update-check	23:24:28	rust	185.199.108.153:443
update-check	23:24:28	rust	51.159.86.116:443
update-check	23:24:28	rust	185.199.108.153:443
pricing	23:24:54	rust	51.159.86.116:443
pricing	23:24:54	rust	185.199.108.153:443
pricing	23:24:54	rust	185.199.111.133:443
pricing	23:24:54	rust	51.159.86.116:443
pricing	23:24:54	rust	185.199.108.153:443
pricing	23:24:54	rust	185.199.111.133:443
pricing	23:24:55	rust	51.159.86.116:443
pricing	23:24:55	rust	185.199.108.153:443
pricing	23:24:55	rust	185.199.111.133:443
pricing	23:24:55	rust	51.159.86.116:443
pricing	23:24:55	rust	185.199.108.153:443
pricing	23:24:55	rust	185.199.111.133:443
pricing	23:24:56	rust	51.159.86.116:443
pricing	23:24:56	rust	185.199.108.153:443
pricing	23:24:56	rust	185.199.111.133:443
pricing	23:24:56	rust	51.159.86.116:443
pricing	23:24:56	rust	185.199.108.153:443
pricing	23:24:56	rust	185.199.111.133:443
pricing	23:24:57	rust	51.159.86.116:443
