# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
idle	08:59:14	rust	51.159.86.116:443
idle	08:59:14	rust	51.159.86.116:443
idle	08:59:14	rust	51.159.86.116:443
idle	08:59:15	rust	51.159.86.116:443
idle	08:59:15	rust	51.159.86.116:443
idle	08:59:16	rust	51.159.86.116:443
idle	08:59:16	rust	51.159.86.116:443
idle	08:59:17	rust	51.159.86.116:443
idle	08:59:17	rust	51.159.86.116:443
idle	08:59:17	rust	51.159.86.116:443
idle	08:59:18	rust	51.159.86.116:443
idle	08:59:18	rust	51.159.86.116:443
idle	08:59:19	rust	51.159.86.116:443
idle	08:59:19	rust	51.159.86.116:443
idle	08:59:20	rust	51.159.86.116:443
idle	08:59:20	rust	51.159.86.116:443
idle	08:59:21	rust	51.159.86.116:443
idle	08:59:21	rust	51.159.86.116:443
idle	08:59:21	rust	51.159.86.116:443
idle	08:59:22	rust	51.159.86.116:443
idle	08:59:22	rust	51.159.86.116:443
idle	08:59:23	rust	51.159.86.116:443
idle	08:59:23	rust	51.159.86.116:443
idle	08:59:24	rust	51.159.86.116:443
idle	08:59:24	rust	51.159.86.116:443
idle	08:59:25	rust	51.159.86.116:443
idle	08:59:25	rust	51.159.86.116:443
idle	08:59:25	rust	51.159.86.116:443
idle	08:59:26	rust	51.159.86.116:443
idle	08:59:26	rust	51.159.86.116:443
idle	08:59:27	rust	51.159.86.116:443
idle	08:59:27	rust	51.159.86.116:443
idle	08:59:28	rust	51.159.86.116:443
idle	08:59:28	rust	51.159.86.116:443
idle	08:59:28	rust	51.159.86.116:443
idle	08:59:29	rust	51.159.86.116:443
idle	08:59:29	rust	51.159.86.116:443
idle	08:59:30	rust	51.159.86.116:443
idle	08:59:30	rust	51.159.86.116:443
idle	08:59:31	rust	51.159.86.116:443
idle	08:59:31	rust	51.159.86.116:443
idle	08:59:31	rust	51.159.86.116:443
idle	08:59:32	rust	51.159.86.116:443
idle	08:59:32	rust	51.159.86.116:443
idle	08:59:33	rust	51.159.86.116:443
idle	08:59:33	rust	51.159.86.116:443
idle	08:59:34	rust	51.159.86.116:443
idle	08:59:34	rust	51.159.86.116:443
idle	08:59:35	rust	51.159.86.116:443
idle	08:59:35	rust	51.159.86.116:443
idle	08:59:35	rust	51.159.86.116:443
idle	08:59:36	rust	51.159.86.116:443
idle	08:59:36	rust	51.159.86.116:443
idle	08:59:37	rust	51.159.86.116:443
idle	08:59:37	rust	51.159.86.116:443
idle	08:59:38	rust	51.159.86.116:443
idle	08:59:38	rust	51.159.86.116:443
idle	08:59:38	rust	51.159.86.116:443
idle	08:59:39	rust	51.159.86.116:443
idle	08:59:39	rust	51.159.86.116:443
